Пн	Вт	Ср	Чт	Пт	Сб	Нд
	25.03 1-(K07T01) сп 4	26.03 2-(K07T02) сп 4	27.03 3-(K07T03) сп 4	28.03 4-(K07T04) сп 4	29.03	30.03
31.03 5-(K07T05) сп 2	01.04 6-(K07T07) сп 2	02.04 7-(K01T01) сп 1	03.04 8-(K01T04) сп 2	04.04	05.04	06.04
07.04 9-(K01T05) сп 2	08.04 10-(K01T06) сп 2	09.04 11-(K01T08) сп 4	10.04 12-(K01T09) сп 4	11.04 12-(K01T09) сп 4	12.04	13.04
14.04 12-(K01T09) сп 4	15.04 12-(K01T09) сп 4	16.04 13-(K01T10) сп 4	17.04 13-(K01T10) сп 4	18.04 14-(K01T12) сп 4	19.04	20.04
21.04 14-(K01T12) сп 4	22.04 15-(K01T13) сп 4	23.04	24.04 16-(K02T01) сп 2	25.04 17-(K02T09) сп 2	26.04	27.04
28.04 18-(K02T11) сп 4	29.04 18-(K02T11) сп 4	30.04 19-(K03T01) сп 4	01.05 19-(K03T01) сп 4	02.05 20-(K03T02) сп 4	03.05	04.05
05.05 20-(K03T02) сп 4	06.05 21-(K04T01) сп 4	07.05 21-(K04T01) сп 4	08.05 22-(K04T08) сп 2	09.05 23-(K05T01) сп 2	10.05	11.05
12.05 24-(K05T02) сп 4	13.05 24-(K05T02) сп 4	14.05 24-(K05T02) сп 4	15.05 25-(K05T04) сп 4	16.05 25-(K05T04) сп 4	17.05	18.05
19.05	20.05	21.05	22.05	23.05	24.05	25.05
26.05	27.05	28.05	29.05 26-(K05T10) сп 4	30.05 27-(K05T13) сп 4	31.05	01.06
02.06 28-(K05T16) сп 2	03.06 29-(K05T17) сп 4	04.06 29-(K05T17) сп 4	05.06 30-(K07T01) сп 1	06.06 31-(K07T02) сп 1	07.06	08.06
09.06 32-(K06T01) пн 1	10.06 33-(K01T01) сп 4	11.06 33-(K01T01) сп 4	12.06 33-(K01T01) сп 4	13.06 33-(K01T01) сп 4	14.06	15.06
16.06 33-(K01T01) сп 4	17.06 34-(K01T02) сп 4	18.06 34-(K01T02) сп 4	19.06 34-(K01T02) сп 2	20.06 35-(K01T03) сп 4	21.06	22.06
23.06 35-(K01T03) сп 4	24.06 35-(K01T03) сп 2	25.06 36-(K01T04) сп 4	26.06 36-(K01T04) сп 4	27.06 36-(K01T04) сп 2	28.06	29.06
30.06 37-(K01T05) сп 4	01.07 37-(K01T05) сп 4	02.07 37-(K01T05) сп 2	03.07 38-(T99) сп 2	04.07 39-(K02T13) нрм 4	05.07	06.07
07.07 39-(K02T13) нрм 4	08.07 39-(K02T13) нрм 4	09.07 39-(K02T13) нрм 4	10.07 39-(K02T13) нрм 4	11.07 39-(K02T13) нрм 4	12.07	13.07
14.07 39-(K02T13) нрм 4	15.07 39-(K02T13) нрм 4	16.07 39-(K02T13) нрм 4	17.07 39-(K02T13) нрм 4	18.07 39-(K02T13) нрм 4		
